X,Y,OBJECTID,ADDRESS,NAME,ADDRID
-77.05451682809516,38.914787388249273,1,MASSACHUSETTS AVE & 23RD ST NW,PHILIP JAISOHN (STATUE),223114
-77.05904247604586,38.91290797088439,2,3001 R ST NW,VAN NESS MAUSOLEUM,261707
-77.055718446248306,38.895919282256102,3,2700 F ST NW,JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,293227
-77.013487985547684,38.94585242071215,4,201 ALLISON ST NW,EDWIN B. HAY,284159
-77.036086066271395,38.896986428641036,5,WEST EXECUTIVE AVE & 17TH ST NW,FIRST DIVISION MONUMENT,293211
-77.06135051486487,38.920497138186207,6,3100 MASSACHUSETTS AVE NW,KAHLIL GIBRAN (KRAY),284577
-77.01756421357716,38.893332000048588,7,1 FIRST ST NE,CHIEF JUSTICE JOHN MARSHALL,293185
-77.053607612428777,38.898803346250219,8,NEW HAMPSHIRE AVE & VIRGINA AVE NW,BENITO JUAREZ (STATUE),300836
-76.967514086709556,38.910283871558555,9,3501 NEW YORK AVE NE,NATIONAL CAPITOL COLUMNS,293238
-77.048461888436279,38.892421263473764,10,2101 CONSTITUTION AVE NW,ALBERT EINSTEIN MEMORIAL,242716
-77.040056071196901,38.924785291298548,11,1717 COLUMBIA RD NW,THE SERVANT CHRIST,235976
-77.031667615484977,38.895293783914155,12,1350 PENNSYLVANIA AVE NW,ALEXANDER ROBEY SHEPHERD (DUNBAR),293203
-77.029971835229574,38.895878179873641,13,FREEDOM PLAZA (13TH ST AND PENNSYLVANIA AVE NW),GENERAL CASIMIR PULASKI (STATUE),307053
-77.052257689929334,38.913497366094546,14,2343 MASSACHUSETTS AVE NW,ST. JEROME THE PRIEST (MEŠTROVIC),218995
-77.031696886989295,38.906565678352713,15,1226 VERMONT AVE NW,MARTIN LUTHER (RIETSCHEL),240613
-77.022944409841529,38.894128884412297,16,701 PENNSYLVANIA AVE NW,UNITED STATES NAVY MEMORIAL PLAZA,279889
-77.020535799166794,38.892669532485243,17,600 PENNSYLVANIA AVE NW,MAN CONTROLLING TRADE,238718
-77.03161529209676,38.893836425861842,18,1300 PENNSYLVANIA AVE NW,OSCAR STRAUS MEMORIAL,293198
-77.001376508065505,38.934313584216845,19,400 MICHIGAN AVE NE,"MARY, PROTECTOR OF FAITH (RUSSO)",291632
-77.006530246529337,38.896566155155817,20,UNION STATION (COLUMBUS CIRCLE),AMERICAN LEGION FREEDOM BELL,293243
-77.005767345898832,38.888695045507255,21,101 INDEPENDENCE AVE SE,THE COURT OF NEPTUNE FOUNTAIN,277868
-77.025976711029742,38.889159350994497,22,1000 JEFFERSON DR SW,PROFESSOR JOSEPH HENRY,293187
-77.011734281407016,38.941707104309032,23,140 ROCK CREED CHURCH RD NW,PRESIDENT LINCOLN'S COTTAGE AT THE SOLDIERS' HOME,292866
-77.029619533449022,38.909651650113588,24,LOGAN CIRCLE,MAJOR GENERAL JOHN A. LOGAN,294285
-77.035726020014536,38.907244848813278,25,MASSACHUSETTS AVE & 16TH ST NW,SAMUEL HAHNEMANN MONUMENT,294297
-77.042871203870604,38.89109488963679,26,CONSTITUTION GARDENS,MEMORIAL TO THE 56 SIGNERS OF THE DECLARATION OF INDEPENDENCE,294227
-77.048971338527949,38.910067092303912,27,22ND & P ST NW,TARAS SHEVCHENKO MEMORIAL,294342
-77.052720518483042,38.913893961115839,28,MASSACHUSETTS AVE & 24RD ST NW,ROBERT EMMET (CONNOR),294201
-77.050646024698281,38.912159980468211,29,SHERIDAN CIRCLE NW,GENERAL PHILIP SHERIDAN,294344
-77.050114475161308,38.902536391490479,30,WASHINGTON CIRCLE,LIEUTENANT GENERAL GEORGE WASHINGTON,294277
-77.036533421827613,38.907245319790235,31,SCOTT CIRCLE,BREVET LT. GENERAL WINFIELD SCOTT,294182
-77.043435825100701,38.90965239046696,32,DUPONT CIRCLE NW,DUPONT CIRCLE FOUNTAIN,294226
-77.030774523278012,38.901998967909677,33,FRANKLIN SQUARE (14TH & K ST NW),COMMODORE JOHN BARRY (BOYLE),302945
-77.034121509341645,38.901955432317564,34,MCPHERSON SQUARE,MAJOR GENERAL JAMES B. MCPHERSON,294178
-77.038957320816394,38.901939794655107,35,FARRAGUT SQUARE,ADMIRAL DAVID G. FARRAGUT,294186
-77.036551032737563,38.899516985710704,36,LAFAYETTE SQUARE,JACKSON STATUE,302944
-77.033577666963239,38.896433387302494,37,PENNSYLVANIA AVE & 15TH ST NW,THE EXTRA MILE,294195
-77.034248077261793,38.89385159597623,38,E EXECUTIVE AVE & STATE PLACE NW,BOY SCOUTS OF AMERICA MEMORIAL,294230
-77.034966673454377,38.920213327748009,39,2400 15TH ST NW,DANTE ALIGHIERI (XIMENES),294183
-77.047250901111354,38.876282305758728,40,GEORGE WASHINGTON MEMORIAL PARKWAY,NAVY – MERCHANT MARINE MEMORIAL,294415
